id,seen,speed,direction,
76168838,1519887511459,79.82,right,
8579e7f6,1519887530691,54.96,left,
a3086ed3,1519887534336,48.78,right,
9c2dee2a,1519887537136,53.65,right,
52c3b8c9,1519887538495,57.69,right,
45561eca,1519887565744,0.0,right,
067e1605,1519887582480,73.32,right,
73f71cd9,1519887593650,0.0,right,
250195e3,1519887593650,0.0,left,
f56b1a66,1519887594352,0.0,left,
390a0b82,1519887594512,0.0,left,
bfc6fed9,1519887594626,27.25,left,
69eb4e8b,1519887601216,65.1,right,
c162eccf,1519887602787,64.4,right,
eee9fd78,1519887619551,0.0,right,
97017a10,1519887621267,59.21,right,
2aea2888,1519887634128,60.91,right,
3feb4c0e,1519887636622,56.34,left,
63013bdf,1519887645440,56.34,right,
ae23d3a8,1519887648210,46.81,left,
9f688338,1519887652496,46.94,left,
2eb5f781,1519887655634,44.89,left,
cfea5e03,1519887658768,60.61,right,
1ce28cb2,1519887676947,64.4,right,
040c9ed4,1519887685582,40.13,left,
74eb64f4,1519887692417,83.14,right,
b0821d37,1519887718689,54.79,right,
a26bd561,1519887720160,55.05,right,
9ce7c5c0,1519887769712,41.81,left,
c465f022,1519887771440,41.67,left,
2baaca50,1519887773570,41.76,left,
aabe62e7,1519887793584,53.49,right,
d2ead75c,1519887794752,60.61,left,
c667197a,1519887805988,57.42,right,
45999298,1519887829202,0.0,right,
6756ec1c,1519887829920,0.0,left,
d7adf8fb,1519887841696,59.02,left,
fb00d3c7,1519887853601,53.33,left,
adb5acfb,1519887862768,0.0,left,
157ccf5a,1519887872672,58.82,right,
8b6579a5,1519887874893,51.06,right,
43c0d3af,1519887877072,45.45,left,
ad53a59a,1519887890079,40.86,left,
d65a6cdf,1519887896080,0.0,right,
4c5118e0,1519887896449,0.0,right,
fd5369e3,1519887899182,0.0,right,
ffe82336,1519887900113,20.06,right,
044d0b41,1519887949331,43.32,left,
5a1525cb,1519887950563,42.65,left,
d6ce550f,1519887970304,0.0,right,
822baee5,1519887992751,83.14,right,
8c25d3a0,1519888036560,0.0,left,
436e65c5,1519888038736,43.27,left,
bd5fcd28,1519888059538,38.83,left,
367ae7df,1519888061072,38.92,left,
63a43c74,1519888065746,45.06,left,
13dbc812,1519888067842,44.94,right,
087dee8e,1519888069201,45.0,left,
bc49f754,1519888072448,0.0,left,
20b89bc1,1519888072480,0.0,left,
926f96be,1519888075439,48.58,left,
7ed85040,1519888081616,50.99,right,
f75dc753,1519888085746,0.0,right,
5873a5a5,1519888097489,56.16,right,
836f748a,1519888099056,56.34,right,
190a7ada,1519888108228,53.57,right,
5bd08723,1519888109680,59.21,right,
c64c1665,1519888110755,0.0,left,
e2229741,1519888118320,39.34,left,
45605be6,1519888119122,0.0,left,
cf0ed19a,1519888121025,37.54,left,
b179d04e,1519888125476,47.49,left,
859ff8e5,1519888128592,0.0,left,
c6e5680b,1519888132463,59.31,left,
8008fc7c,1519888147599,53.81,right,
289b5ebd,1519888161840,0.0,right,
e8694823,1519888162671,25.26,right,
52baa933,1519888167314,55.38,right,
8550d39c,1519888205932,60.5,right,
1888cb93,1519888222834,59.02,right,
18f7e5ae,1519888227553,0.0,left,
e51ca09b,1519888228932,0.0,left,
f362cae5,1519888229423,0.0,right,
dda87b1d,1519888230000,0.0,right,
f6eb6f6d,1519888240339,32.67,left,
0514eefd,1519888240595,0.0,right,
92555600,1519888240626,0.0,right,
759beab5,1519888240626,0.0,left,
953ec7fa,1519888240656,0.0,right,
d87ff348,1519888240705,0.0,right,
0fd475af,1519888240799,0.0,left,
88d6783a,1519888240897,0.0,right,
9e93955c,1519888240864,0.0,right,
a67817f6,1519888240930,0.0,right,
bf6c5a83,1519888241426,0.0,left,
